file,group,dataset
S0159LH1.ERX1007461.H3K4me1.bwa.GRCh38.20151029.bw,2,4
S0159LH1.ERX1007462.H3K9me3.bwa.GRCh38.20151029.bw,2,6
S0159LH1.ERX1007481.H3K27ac.bwa.GRCh38.20151029.bw,2,1
S0159LH1.ERX1007482.H3K36me3.bwa.GRCh38.20151029.bw,2,3
S0159LH1.ERX1007483.H3K27me3.bwa.GRCh38.20151029.bw,2,2
S0159LH1.ERX1122444.H3K4me3.bwa.GRCh38.20151029.bw,2,5
S0159LH1.ERX1122482.Input.bwa.GRCh38.20151207.bw,2,8
S00X9SH1.ERX712739.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00X9SH1.ERX712740.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00X9SH1.ERX712741.H3K4me1.bwa.GRCh38.20150529.bw,2,4
S00X9SH1.ERX712754.Input.bwa.GRCh38.20150528.bw,2,8
S00X9SH1.ERX712777.H3K4me3.bwa.GRCh38.20150529.bw,2,5
S00X9SH1.ERX712778.H3K27ac.bwa.GRCh38.20150529.bw,2,1
S00X9SH1.ERX712779.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00XAQH1.ERX1295588.H3K4me1.bwa.GRCh38.20160126.bw,2,4
S00XAQH1.ERX712759.H3K4me3.bwa.GRCh38.20150528.bw,2,5
S00XAQH1.ERX712760.H3K27ac.bwa.GRCh38.20150529.bw,2,1
S00XAQH1.ERX712761.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00XAQH1.ERX712762.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00XAQH1.ERX712763.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00XAQH1.ERX941049.Input.bwa.GRCh38.20150529.bw,2,8
S00W1BH1.ERX712695.H3K27ac.bwa.GRCh38.20150528.bw,2,1
S00W1BH1.ERX712696.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00W1BH1.ERX712697.H3K4me1.bwa.GRCh38.20150528.bw,2,4
S00W1BH1.ERX712698.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00W1BH1.ERX712717.H3K4me3.bwa.GRCh38.20150529.bw,2,5
S00W1BH1.ERX712775.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00W1BH1.ERX943224.Input.bwa.GRCh38.20150529.bw,2,8
S00XDKH1.ERX712764.H3K4me3.bwa.GRCh38.20150529.bw,1,5
S00XDKH1.ERX712765.H3K27ac.bwa.GRCh38.20150529.bw,1,1
S00XDKH1.ERX712766.H3K4me1.bwa.GRCh38.20150529.bw,1,4
S00XDKH1.ERX712767.H3K36me3.bwa.GRCh38.20150529.bw,1,3
S00XDKH1.ERX712768.H3K9me3.bwa.GRCh38.20150529.bw,1,6
S00XDKH1.ERX712769.H3K27me3.bwa.GRCh38.20150529.bw,1,2
S00XDKH1.ERX941048.Input.bwa.GRCh38.20151207.bw,1,8
S00XDKU1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw,1,7
S00XCMA1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw,1,7
S00XCMH1.ERX712712.H3K27me3.bwa.GRCh38.20150529.bw,1,2
S00XCMH1.ERX712716.H3K4me3.bwa.GRCh38.20150528.bw,1,5
S00XCMH1.ERX712718.H3K36me3.bwa.GRCh38.20150529.bw,1,3
S00XCMH1.ERX712719.H3K4me1.bwa.GRCh38.20150529.bw,1,4
S00XCMH1.ERX712720.H3K27ac.bwa.GRCh38.20150529.bw,1,1
S00XCMH1.ERX712721.H3K9me3.bwa.GRCh38.20150529.bw,1,6
S00XCMH1.ERX712742.Input.bwa.GRCh38.20150529.bw,1,8
S00XEIH1.ERX1007372.H3K4me1.bwa.GRCh38.20151029.bw,1,4
S00XEIH1.ERX1007373.H3K36me3.bwa.GRCh38.20151029.bw,1,3
S00XEIH1.ERX1007374.H3K9me3.bwa.GRCh38.20151029.bw,1,6
S00XEIH1.ERX1007375.H3K27me3.bwa.GRCh38.20151029.bw,1,2
S00XEIH1.ERX1007376.Input.bwa.GRCh38.20151029.bw,1,8
S00XEIH1.ERX1007377.H3K4me3.bwa.GRCh38.20151029.bw,1,5
S00XEIH1.ERX1007378.H3K27ac.bwa.GRCh38.20151029.bw,1,1
S00XEIU1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw,1,7
S00XFGH1.ERX1122511.H3K9me3.bwa.GRCh38.20151029.bw,1,6
S00XFGH1.ERX1122512.H3K27me3.bwa.GRCh38.20151029.bw,1,2
S00XFGH1.ERX1122527.H3K4me3.bwa.GRCh38.20151029.bw,1,5
S00XFGH1.ERX1122528.H3K4me1.bwa.GRCh38.20151029.bw,1,4
S00XFGH1.ERX1122529.H3K27ac.bwa.GRCh38.20151029.bw,1,1
S00XFGH1.ERX1122530.H3K36me3.bwa.GRCh38.20151029.bw,1,3
S00XFGH1.ERX1122535.Input.bwa.GRCh38.20151029.bw,1,8
