name,source
FOSL2,MGES PMID:20032975
RUNX1,MGES PMID:20032975
ZBTB18,MGES PMID:20032975
CEBPD,MGES PMID:20032975
STAT3,MGES PMID:20032975
BHLHE40,MGES PMID:20032975
MYCN,MGES PMID:20032975
FOSL1,MGES PMID:20032975
ELF4,MGES PMID:20032975
LZTS1,MGES PMID:20032975
CEBPB,MGES PMID:20032975
THRA,PNGES PMID:20032975
OLIG2,PNGES PMID:20032975
HLF,PNGES PMID:20032975
SCAPER,PNGES PMID:20032975
SATB1,PNGES PMID:20032975
ZNF217,PNGES PMID:20032975
MSRB2,PNGES PMID:20032975
PKNOX2,PNGES PMID:20032975
CUX2,PNGES PMID:20032975
KMT2A,PNGES PMID:20032975
SNAPC1,PNGES PMID:20032975
MYT1L,PNGES PMID:20032975
