"","file","group","dataset"
"1","AK066_H3K27ac",1,1
"2","AK066_H3K27me3",1,2
"3","AK066_H3K4me1",1,3
"4","AK066_H3K4me3",1,4
"5","AK066_H3K9me3",1,5
"6","AK071_H3K27ac",2,1
"7","AK071_H3K27me3",2,2
"8","AK071_H3K36me3",2,6
"9","AK071_H3K4me1",2,3
"10","AK071_H3K4me3",2,4
"11","AK071_H3K9me3",2,5
"12","AK076_H3K27ac",1,1
"13","AK076_H3K27me3",1,2
"14","AK076_H3K36me3",1,6
"15","AK076_H3K4me1",1,3
"16","AK076_H3K4me3",1,4
"17","AK076_H3K9me3",1,5
"18","AK089_H3K27ac",4,1
"19","AK089_H3K27me3",4,2
"20","AK089_H3K36me3",4,6
"21","AK089_H3K4me1",4,3
"22","AK089_H3K4me3",4,4
"23","AK089_H3K9me3",4,5
"24","AK091_H3K27ac",2,1
"25","AK091_H3K27me3",2,2
"26","AK091_H3K36me3",2,6
"27","AK091_H3K4me1",2,3
"28","AK091_H3K4me3",2,4
"29","AK091_H3K9me3",2,5
"30","AK100_H3K27ac",4,1
"31","AK100_H3K27me3",4,2
"32","AK100_H3K36me3",4,6
"33","AK100_H3K4me1",4,3
"34","AK100_H3K4me3",4,4
"35","AK100_H3K9me3",4,5
"36","AK124_H3K27ac",1,1
"37","AK124_H3K27me3",1,2
"38","AK124_H3K36me3",1,6
"39","AK124_H3K4me1",1,3
"40","AK124_H3K4me3",1,4
"41","AK124_H3K9me3",1,5
"42","AK139_H3K27ac",2,1
"43","AK139_H3K27me3",2,2
"44","AK139_H3K36me3",2,6
"45","AK139_H3K4me1",2,3
"46","AK139_H3K4me3",2,4
"47","AK139_H3K9me3",2,5
"48","AK142_H3K27ac",3,1
"49","AK142_H3K27me3",3,2
"50","AK142_H3K36me3",3,6
"51","AK142_H3K4me1",3,3
"52","AK142_H3K4me3",3,4
"53","AK142_H3K9me3",3,5
"54","AK149_H3K27ac",3,1
"55","AK149_H3K27me3",3,2
"56","AK149_H3K36me3",3,6
"57","AK149_H3K4me1",3,3
"58","AK149_H3K4me3",3,4
"59","AK149_H3K9me3",3,5
"60","AK153_H3K27ac",2,1
"61","AK153_H3K27me3",2,2
"62","AK153_H3K36me3",2,6
"63","AK153_H3K4me1",2,3
"64","AK153_H3K4me3",2,4
"65","AK153_H3K9me3",2,5
"66","AK156_H3K27ac",3,1
"67","AK156_H3K27me3",3,2
"68","AK156_H3K36me3",3,6
"69","AK156_H3K4me1",3,3
"70","AK156_H3K4me3",3,4
"71","AK156_H3K9me3",3,5
"72","AK158_H3K27ac",4,1
"73","AK158_H3K27me3",4,2
"74","AK158_H3K36me3",4,6
"75","AK158_H3K4me1",4,3
"76","AK158_H3K4me3",4,4
"77","AK158_H3K9me3",4,5
"78","AK173_H3K27ac",3,1
"79","AK173_H3K27me3",3,2
"80","AK173_H3K36me3",3,6
"81","AK173_H3K4me1",3,3
"82","AK173_H3K4me3",3,4
"83","AK173_H3K9me3",3,5
"84","AK178_H3K27ac",4,1
"85","AK178_H3K27me3",4,2
"86","AK178_H3K36me3",4,6
"87","AK178_H3K4me1",4,3
"88","AK178_H3K4me3",4,4
"89","AK178_H3K9me3",4,5
"90","AK183_H3K27ac",3,1
"91","AK183_H3K27me3",3,2
"92","AK183_H3K36me3",3,6
"93","AK183_H3K4me1",3,3
"94","AK183_H3K4me3",3,4
"95","AK183_H3K9me3",3,5
"96","AK199_H3K27ac",1,1
"97","AK199_H3K27me3",1,2
"98","AK199_H3K36me3",1,6
"99","AK199_H3K4me1",1,3
"100","AK199_H3K4me3",1,4
"101","AK199_H3K9me3",1,5
"102","AK213_H3K27ac",1,1
"103","AK213_H3K27me3",1,2
"104","AK213_H3K36me3",1,6
"105","AK213_H3K4me1",1,3
"106","AK213_H3K4me3",1,4
"107","AK213_H3K9me3",1,5
"108","AK216_H3K27ac",4,1
"109","AK216_H3K27me3",4,2
"110","AK216_H3K36me3",4,6
"111","AK216_H3K4me1",4,3
"112","AK216_H3K4me3",4,4
"113","AK216_H3K9me3",4,5
"114","AK231_H3K27ac",1,1
"115","AK231_H3K27me3",1,2
"116","AK231_H3K36me3",1,6
"117","AK231_H3K4me1",1,3
"118","AK231_H3K4me3",1,4
"119","AK231_H3K9me3",1,5
